Timestamp,stock_volume,Price,amount_volume
2019/8/15,2256073,26626745.91,7043307385
2019/8/14,2571060,30575744.49,7120121979
2019/8/13,2273513,26588837,6860134122
2019/8/12,2864194,34124232.79,7114213164
2019/8/9,2274276,27996163.69,7214663017
2019/8/8,1771233,22239876.86,7386018650
2019/8/7,1920554,24338128.17,7451015614
2019/8/6,2781454,35073859.07,7445106799
2019/8/5,2179714,28248447.96,7598735987
2019/8/2,2144391,27690157.83,7669641766
2019/8/1,1624314,21401295.77,7781909250
2019/7/31,1346692,17722170.3,7805544509
2019/7/30,1670330,22119198.27,7823270954
2019/7/29,1491166,19748367.79,7835088584
2019/7/26,1891748,25024991.03,7835088584
2019/7/25,1868175,24493701.2,7716912286
2019/7/24,1633243,21323232.39,7716912286
2019/7/23,1379209,17571730.78,7610553617
2019/7/22,1643502,20872983.09,7480559689
2019/7/19,1278174,16523765.86,7646006506
2019/7/18,998790,12889367.15,7586918357
2019/7/17,1289273,16938617.62,7711003471
2019/7/16,1638626,21654387.48,7840997399
2019/7/15,1507152,19647406.29,7734638730
2019/7/12,1282544,16432486.8,7622371247
2019/7/11,2400351,31226609.47,7539647838
2019/7/10,775997,10328950.01,7829179769
2019/7/9,1511857,20132732.59,7911903178
2019/7/8,1614366,21444524.43,7888267918
2019/7/5,1075814,14325974.62,7917811993
2019/7/4,1389396,18546744.67,7911903178
2019/7/3,1803712,24068950.25,7935538438
2019/7/2,2267137,30063342.82,7905994363
2019/7/1,3187074,42328593.39,7911903178
2019/6/28,1265383,16494883.31,7728729915
2019/6/27,1250651,16274847.93,7711003471
2019/6/26,851741,10981870.9,7592827172
2019/6/25,981323,12644903.47,7640097692
2019/6/24,1027822,13330845.17,7663732951
2019/6/21,1380982,17944323.73,7675550581
2019/6/20,1659636,21306202.3,7640097692
2019/6/19,1465308,19012349.58,7581009542
2019/6/18,2049005,26408741.47,7657824136
2019/6/17,1411832,17764071.65,7403745095
2019/6/14,1489014,19062952.41,7498286133
2019/6/13,808891,18041416.59,7750699500
2019/6/12,579150,12871499.5,7733321250
2019/6/11,871009,19159268.14,7736796900
2019/6/10,483278,10480735.98,7524782250
2019/6/6,714956,15392162.56,7469171850
2019/6/5,790236,17148581.7,7538684850
2019/6/4,544320,11709682.2,7476123150
2019/6/3,697559,14980328.77,7466340600
2019/5/31,1704320,36510890.7,7466340600
2019/5/30,1563776,33624210.84,7424629200
2019/5/29,1313985,29293973.04,7685325450
2019/5/28,1331531,29430294.26,7845219150
2019/5/27,879705,19070943.3,7612330500
2019/5/24,718474,15604478.5,7508052000
2019/5/23,1190645,26432184.2,7702705200
2019/5/22,516704,11741469.68,7879978650
2019/5/21,987658,22468586.86,7876502700
2019/5/20,1263771,28519802.07,7824363450
2019/5/17,1415673,32482049.77,7890406500
2019/5/16,2394167,55157159.04,8043348300
2019/5/15,3193334,72676404.85,7949497650
2019/5/14,890241,19058681.91,7442008950
2019/5/13,1269677,27321170.19,7476768450
2019/5/10,2107068,45390319.92,7473292500
2019/5/9,1044755,21848356.2,7254307650
2019/5/8,958491,20249615.8,7330778550
2019/5/7,1501498,31547693.88,7355110200
2019/5/6,2178550,45447429.51,7167408900
2019/4/30,1455912,31095503.82,7431581100
2019/4/29,1756250,36666718,7243879800
2019/4/26,2448195,50977374.23,7226500050
2019/4/25,4117472,86825601.24,7316874750
2019/4/24,3916416,81611800.27,7229976000
2019/4/23,4358556,90594658.25,7459388700
2019/4/22,1137350,25181586.18,7667945700
2019/4/19,1508556,33843450.91,7782652050
2019/4/18,1552080,35515561.99,7893882450
2019/4/17,2513867,58325343.26,7921690050
2019/4/16,2070111,46327325.9,7775700150
2019/4/15,3590134,81095947.4,7779176100
2019/4/12,3055675,71914108.12,8001636900
2019/4/11,2273838,54390357.6,8380515450
2019/4/10,3097911,74234658.69,8317948350
2019/4/9,2120122,50875955.88,8342280000
2019/4/8,2538549,60947164.21,8387467350
2019/4/4,2325773,56534259.08,8422226850
2019/4/3,1871685,45469040.43,8519553450
2019/4/2,3194552,78168267.02,8540409150
2019/4/1,4050274,97213372.1,8415274950
2019/3/29,3530754,83669180.63,8324900250
2019/3/28,2300950,53985597.5,8168482500
2019/3/27,2360273,55163941.05,8210193900
2019/3/26,1869550,43656308.44,8092011600
2019/3/25,2378205,55817046.57,8144150850
2019/3/22,5128918,122555615.5,8307520500
2019/3/21,3720200,87388949.93,8189338200
2019/3/20,2969551,69407808.6,8196290100
2019/3/19,6653128,158483070,8238001500
2019/3/18,10726500,256632783.3,8689875000
2019/3/15,2762476,62883467.49,7925166000
2019/3/14,2997312,67981292.74,7925166000
2019/3/13,3968417,90055348.32,7883454600
2019/3/12,4611525,104734308.3,7827839400
2019/3/11,4659791,104155400.6,7994685000
2019/3/8,3428329,77458162.25,7647090000
2019/3/7,5305620,117455562,7959925500
2019/3/6,2904030,64485474.53,7706181150
2019/3/5,2947254,65828525.06,7744416600
2019/3/4,1910416,42409199.49,7699229250
2019/3/1,2224401,49658375.88,7678373550
2019/2/28,3723959,83826300.94,7831315350
2019/2/27,3422977,74840032.02,7973829300
2019/2/26,5296071,120422529.1,7758320400
2019/2/25,3227165,74651731.17,8112867300
2019/2/22,8511959,193844719.1,8147626800
2019/2/21,1762255,37159429.88,7407249450
2019/2/20,1216819,25573532.21,7285591200
2019/2/19,1090200,23171654,7330778550
2019/2/18,963301,20643613.97,7459388700
2019/2/15,983050,21101669,7459388700
2019/2/14,736501,15670932.75,7431581100
2019/2/13,890585,19014193.96,7428105150
2019/2/12,1585086,33616292.08,7424629200
2019/2/11,2266659,47722400.54,7414201350
2019/2/1,1372105,28666054.01,7369014000
2019/1/31,2274700,48559813.6,7250831700
2019/1/30,1493918,32047740.43,7473292500
2019/1/29,2791371,60140135.93,7532383650
2019/1/28,4191686,88290504.16,7605378600
2019/1/25,472231,9441204.8,6965803800
2019/1/24,459400,9201272.86,6969279750
2019/1/23,443959,8880697.82,6951900000
2019/1/22,1017975,20503110.77,7004039250
2019/1/21,1619375,32719315.5,7021419000
2019/1/18,1495493,30695726.6,7129173450
2019/1/17,944915,19346844.3,7090938000
2019/1/16,930762,19039960.5,7083986100
2019/1/15,1908815,39308532.86,7136125350
2019/1/14,1502865,31100585.51,7202168400
2019/1/11,4695494,96987044.28,7236927900
2019/1/10,3752200,75296670.75,7191740550
2019/1/9,1651000,31665063.51,6705107550
2019/1/8,3178960,60910534.26,6760722750
2019/1/7,2305491,43561562.63,6652968300
2019/1/4,2975104,54340965.43,6454839150
2019/1/3,399520,6897597.3,5982109950
2019/1/2,638505,10998531,6037725150
2018/12/28,562397,9475788.37,5888259300
2018/12/27,981849,16832105.55,5856975750
2018/12/26,402875,6880587.93,5975158050
2018/12/25,777600,13235971.5,5971682100
2018/12/24,828868,14305841.14,6013393500
2018/12/21,380820,6716182.56,6069008700
2018/12/20,553450,9924907,6169811250
2018/12/19,538964,9648459.32,6194142900
2018/12/18,517500,9421448.5,6277565700
2018/12/17,624950,11319131.5,6208046700
2018/12/14,551450,10205467.5,6413127750
2018/12/13,653000,12101295.69,6413127750
2018/12/12,373650,6926998,6447887250
2018/12/11,612850,11391004,6479170800
2018/12/10,448300,8397173.5,6486122700
2018/12/7,681925,12688318.75,6517406250
2018/12/6,1164100,21702087.5,6468742950
2018/12/5,708779,13254999.28,6489598650
2018/12/4,1244459,23580281.42,6586925250
2018/12/3,4239049,81015402.31,6666872100
2018/11/30,1547930,27872034.08,6301897350
2018/11/29,2290435,40872670.35,6305373300
2018/11/28,823508,14127648.12,5870879550
2018/11/27,934867,16335422.9,6048153000
2018/11/26,1504500,26428299.7,6082912500
2018/11/23,1776849,30895141.94,6183715050
2018/11/22,1487078,25474209.82,6187191000
2018/11/21,1127118,18687910.62,5721413700
2018/11/20,1352804,22995191.74,5832644100
2018/11/19,1853598,30643649.54,5822216250
2018/11/16,3826578,61553089.19,5530236450
2018/11/15,751600,12941410.5,6055104900
2018/11/14,565900,9909026,6009917550
2018/11/13,531437,9316556.87,6093340350
